ds,yhat,yhat_lower,yhat_upper
2024-01-07,20.386327020633093,11.618484888455063,29.70248925698288
2024-01-14,17.803068763661795,9.00414165360687,27.627225851295652
2024-01-21,19.104471471440256,10.196336815188019,27.57919571894952
2024-01-28,17.675883476966835,8.984843070365503,26.98655407194373
2024-02-04,16.180550253442586,7.397075410976372,25.106554216172455
2024-02-11,20.9661325959836,12.586536313423117,29.907220679009328
2024-02-18,31.032893360595356,21.966274282963322,40.02519727027589
2024-02-25,36.61238491651066,27.662221693168497,45.98167781173216
2024-03-03,29.888961674580923,20.646071967705772,39.11574793625774
2024-03-10,14.88956971471538,5.507106640447859,23.011869286181067
2024-03-17,4.282803545841978,-4.416200550340868,13.457823425643697
2024-03-24,6.467652748904919,-2.812795606539837,14.913103142309962
2024-03-31,17.597828022607047,8.577255799455163,26.610588684043478
2024-04-07,26.922812734924054,17.627882852726074,35.862920346391455
2024-04-14,28.388969420513018,19.131967171932526,37.008864145200604
2024-04-21,25.349533383025456,16.36130531426273,34.439959255366745
2024-04-28,24.54312784440894,15.387982915003503,33.62319140681628
2024-05-05,27.849649465657148,19.436664823956793,36.882022280707815
2024-05-12,31.28604634355208,21.510420527406357,40.499232878479226
2024-05-19,30.85577310661324,21.670800656588536,40.64500262159608
2024-05-26,27.21913598214083,18.394687259390416,36.35639171454351
2024-06-02,24.136014205680087,14.649932522634565,33.42184681424753
2024-06-09,23.830853652981144,14.54436427089045,32.72144638245804
2024-06-16,25.217590440865095,16.44892917069867,34.36727184321119
2024-06-23,26.118330425589942,16.35725313692744,34.94727138914585
2024-06-30,25.67914559977584,17.217741205036837,34.84140262040848
2024-07-07,24.24164598440102,14.69413069423149,33.74994560246276
2024-07-14,22.166624694372267,13.328540772253339,31.20638570326445
2024-07-21,20.00952236279857,11.183551052225235,29.291942295211584
2024-07-28,19.30413121423796,10.249011276145454,28.601995864737297
2024-08-04,21.523179771851346,12.464208332031735,30.59953771868607
2024-08-11,25.651413398368458,17.12666042450624,34.26471012337476
2024-08-18,28.00510577689953,18.8013909175052,36.874680031998686
2024-08-25,25.937849620075035,17.038354124657417,34.79272476371571
2024-09-01,21.59567156339797,12.838482985702294,30.661312204797817
2024-09-08,20.47262670557471,11.890307459561306,30.09209271598734
2024-09-15,25.294151118622032,17.071677338557308,33.78605926112567
2024-09-22,32.12341261180016,22.80589453488305,40.52177244650275
2024-09-29,33.970304644994194,24.999317864751283,43.32058958223509
2024-10-06,28.489760442639618,19.214744335206458,37.90579545780546
2024-10-13,20.922770852297308,11.892271636053044,29.66314167390247
2024-10-20,18.471578516882094,8.645086831045765,27.618810528775853
2024-10-27,22.351480801076015,13.643131944243091,31.040417160486278
2024-11-03,26.746703060170727,17.86050481014598,36.300949485155854
2024-11-10,25.890096634171663,17.00874029098592,35.18075931215935
2024-11-17,20.889847849826346,11.990018825883306,29.156144012518038
2024-11-24,18.25947327265121,9.28694656083941,27.150046177658457
2024-12-01,21.98469763059844,13.127870949485843,30.8594212926271
2024-12-08,28.53753429804032,19.746459719284026,37.309102402947964
2024-12-15,30.592038766410038,22.085598327320785,39.33509360345645
2024-12-22,24.942554732292002,16.03690879146907,33.45522303322181
2024-12-29,15.55201195395512,5.843718937073609,24.589382841801772
2025-01-05,8.792726127349503,-0.34390824347235804,17.747376584841025
2025-01-12,6.956763826476766,-2.2970193680764,16.140435816788212
2025-01-19,7.3329671578842754,-1.764294594432188,15.972994610788284
2025-01-26,6.866613796035887,-2.04838462373992,15.128167842567494
2025-02-02,5.987749165797351,-2.9283056163940717,15.682344807045883
2025-02-09,7.108314009418642,-1.381066293115364,16.124809768262484
2025-02-16,10.399004737002157,1.2884727538124576,19.550200794516716
2025-02-23,12.664238506514346,3.0123327392945023,22.148634022672088
2025-03-02,10.858223253831179,1.883618940938247,19.99232598297714
2025-03-09,5.83721794320318,-3.1159922227861006,14.681684407451865
2025-03-16,1.7182967559153757,-7.2788159859632815,10.713610067442817
2025-03-23,1.6158535106668086,-7.384444636585683,10.632958057185888
2025-03-30,4.695361002661178,-3.7703927863963576,13.12584213726163
