ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-01-01,4.51796692,-0.4444091400842127,7.532644887691651,4.51796692,4.51796692,-0.812996037488637,-0.812996037488637,-0.812996037488637,-0.373585424504903,-0.373585424504903,-0.373585424504903,-0.4394106129837339,-0.4394106129837339,-0.4394106129837339,0.0,0.0,0.0,3.704970882511363
2024-01-02,4.5182137355479455,0.18725708493364646,7.913330010864612,4.5182137355479455,4.5182137355479455,-0.26625616001629215,-0.26625616001629215,-0.26625616001629215,0.19878758658761625,0.19878758658761625,0.19878758658761625,-0.46504374660390835,-0.46504374660390835,-0.46504374660390835,0.0,0.0,0.0,4.251957575531653
2024-01-04,4.518707366643836,0.08051308093741913,8.022263798578965,4.518707366643836,4.518707366643836,-0.46254139081239226,-0.46254139081239226,-0.46254139081239226,0.029265968519718032,0.029265968519718032,0.029265968519718032,-0.4918073593321103,-0.4918073593321103,-0.4918073593321103,0.0,0.0,0.0,4.056165975831444
2024-01-05,4.518954182191781,0.11627065477986477,7.876117476517165,4.518954182191781,4.518954182191781,-0.44677341134072146,-0.44677341134072146,-0.44677341134072146,0.04889230766185795,0.04889230766185795,0.04889230766185795,-0.4956657190025794,-0.4956657190025794,-0.4956657190025794,0.0,0.0,0.0,4.072180770851059
2024-01-06,4.519200997739726,0.37578985213667665,7.627663156734719,4.519200997739726,4.519200997739726,-0.5746756993208055,-0.5746756993208055,-0.5746756993208055,-0.0794390140628334,-0.0794390140628334,-0.0794390140628334,-0.4952366852579722,-0.4952366852579722,-0.4952366852579722,0.0,0.0,0.0,3.9445252984189203
2024-01-09,4.519941444383561,0.5759421880000756,8.396105302266648,4.519941444383561,4.519941444383561,-0.28599292221628586,-0.28599292221628586,-0.28599292221628586,0.1987875865877055,0.1987875865877055,0.1987875865877055,-0.48478050880399143,-0.48478050880399143,-0.48478050880399143,0.0,0.0,0.0,4.2339485221672755
2024-01-10,4.520188259931507,0.585392299108925,8.019879483837284,4.520188259931507,4.520188259931507,-0.3162354817593451,-0.3162354817593451,-0.3162354817593451,0.167397759886542,0.167397759886542,0.167397759886542,-0.4836332416458871,-0.4836332416458871,-0.4836332416458871,0.0,0.0,0.0,4.2039527781721615
2024-01-13,4.520928706575342,0.07725219344453872,7.625754029291908,4.520928706575342,4.520928706575342,-0.5859457414251567,-0.5859457414251567,-0.5859457414251567,-0.07943901406282834,-0.07943901406282834,-0.07943901406282834,-0.5065067273623284,-0.5065067273623284,-0.5065067273623284,0.0,0.0,0.0,3.9349829651501853
2024-01-14,4.521175522123287,0.22520177770820815,7.7455354078461465,4.521175522123287,4.521175522123287,-0.5174547034600976,-0.5174547034600976,-0.5174547034600976,0.008680815911864908,0.008680815911864908,0.008680815911864908,-0.5261355193719625,-0.5261355193719625,-0.5261355193719625,0.0,0.0,0.0,4.00372081866319
2024-01-15,4.521422337671233,-0.36836774416734436,7.284003866806499,4.521422337671233,4.521422337671233,-0.9262877671162744,-0.9262877671162744,-0.9262877671162744,-0.3735854245051563,-0.3735854245051563,-0.3735854245051563,-0.5527023426111181,-0.5527023426111181,-0.5527023426111181,0.0,0.0,0.0,3.595134570554958
2024-01-16,4.521669153219178,0.3217209590137851,7.692245198325151,4.521669153219178,4.521669153219178,-0.387519885407133,-0.387519885407133,-0.387519885407133,0.19878758658779486,0.19878758658779486,0.19878758658779486,-0.5863074719949278,-0.5863074719949278,-0.5863074719949278,0.0,0.0,0.0,4.134149267812045
2024-01-17,4.521915968767123,0.24311944245135728,8.00159530698761,4.521915968767123,4.521915968767123,-0.45932695939666174,-0.45932695939666174,-0.45932695939666174,0.16739775988569555,0.16739775988569555,0.16739775988569555,-0.6267247192823573,-0.6267247192823573,-0.6267247192823573,0.0,0.0,0.0,4.062589009370462
2024-01-18,4.522162784315068,-0.10807556423024069,7.809885569813975,4.522162784315068,4.522162784315068,-0.6441345308902766,-0.6441345308902766,-0.6441345308902766,0.029265968520031688,0.029265968520031688,0.029265968520031688,-0.6734004994103083,-0.6734004994103083,-0.6734004994103083,0.0,0.0,0.0,3.878028253424791
2024-01-20,4.5226564154109585,0.04751516369610737,7.485684269031795,4.5226564154109585,4.5226564154109585,-0.8611777339224559,-0.8611777339224559,-0.8611777339224559,-0.07943901406301919,-0.07943901406301919,-0.07943901406301919,-0.7817387198594367,-0.7817387198594367,-0.7817387198594367,0.0,0.0,0.0,3.6614786814885028
2024-01-21,4.522903230958904,0.0744312536090645,7.498079483666867,4.522903230958904,4.522903230958904,-0.8321030320432149,-0.8321030320432149,-0.8321030320432149,0.008680815911967977,0.008680815911967977,0.008680815911967977,-0.840783847955183,-0.840783847955183,-0.840783847955183,0.0,0.0,0.0,3.690800198915689
2024-01-22,4.523150046506849,-0.5582624446739461,7.196278675828419,4.523150046506849,4.523150046506849,-1.2745021832206582,-1.2745021832206582,-1.2745021832206582,-0.3735854245049878,-0.3735854245049878,-0.3735854245049878,-0.9009167587156706,-0.9009167587156706,-0.9009167587156706,0.0,0.0,0.0,3.248647863286191
2024-01-23,4.523396862054795,-0.09601240360809782,7.518038707390343,4.523396862054795,4.523396862054795,-0.7614762452360565,-0.7614762452360565,-0.7614762452360565,0.19878758658859869,0.19878758658859869,0.19878758658859869,-0.9602638318246552,-0.9602638318246552,-0.9602638318246552,0.0,0.0,0.0,3.7619206168187382
2024-01-26,4.52413730869863,-0.41823807941979196,7.071118651470837,4.52413730869863,4.52413730869863,-1.0641736921286404,-1.0641736921286404,-1.0641736921286404,0.048892307660729106,0.048892307660729106,0.048892307660729106,-1.1130659997893695,-1.1130659997893695,-1.1130659997893695,0.0,0.0,0.0,3.4599636165699894
2024-01-27,4.5243841243205045,-0.6172621516640504,6.9444162417079385,4.5243841243205045,4.5243841243205045,-1.227996483968452,-1.227996483968452,-1.227996483968452,-0.07943901406321002,-0.07943901406321002,-0.07943901406321002,-1.148557469905242,-1.148557469905242,-1.148557469905242,0.0,0.0,0.0,3.2963876403520525
2024-01-28,4.52463093994238,-0.5155054318523042,7.295064552031937,4.52463093994238,4.52463093994238,-1.1642534615635791,-1.1642534615635791,-1.1642534615635791,0.00868081591161306,0.00868081591161306,0.00868081591161306,-1.172934277475192,-1.172934277475192,-1.172934277475192,0.0,0.0,0.0,3.360377478378801
